Part Name,Operation Description
4022.472.91842,PUNCH 1
4022.636.59181,PUNCH 1
4022.636.59191,PUNCH 1
M11634B001_B,PUNCH 2
ENC-1291-14-21,PUNCH 3
M15187B001,PUNCH 2
ENC-0983-78-20,PUNCH 2 
ENC-1083-21-00,PUNCH 2 
4022.436.79491,PUNCH 1
4022.636.28652,PUNCH 1
M11588A001,PUNCH 2
M14837A001,PUNCH 2
M15070B001,PUNCH 2
M15101B001,PUNCH 2
ENC-1291-8-20,PUNCH 3
4022.470.82612,PUNCH 1
ENC-0991-2-20,PUNCH 1
ENC-0991-8-21,PUNCH 1
ENC-1500-111-20,PUNCH 3
ENC-0991-4-20,PUNCH 1
ENC-0986-17-21,PUNCH 1
4022.481.07043,PUNCH 1
ENC-0986-3-20,PUNCH 1
ENC-0986-4-20,PUNCH 1
4022.636.89222,PUNCH 1
4022.436.71481,PUNCH 1
M15231B001,PUNCH 2
4022.472.91862,PUNCH 1
4022.636.59421,PUNCH 1
ENC-0983-134-20,PUNCH 2 
M15186A001,PUNCH 2
4022.634.00571,PUNCH 1
M16270B001,PUNCH 2
ENC-0986-12-20,PUNCH 1
ENC-1010-29-20,PUNCH 2 
ENC-1291-9-20,PUNCH 3
4022.481.07023,PUNCH 1
ENC-1421-44-21,PUNCH 2 
ENC-1083-121-20,PUNCH 3
ENC-0986-2-20,PUNCH 1
ENC-1284-4-20,PUNCH 3
3-82517,PUNCH 1
4022.472.91813,PUNCH 1
4022.630.29282,LASER
455.46875-1,Laser
455.46875-3,Laser
455.46875-2,Laser
4022.630.29291,LASER
4022.635.99781,LASER
4022.637.88422,LASER
402263029562-1,Laser
402263029562-2,Laser
455.92971-2,Laser
455.92971-3,Laser (Rotar blank!)
4022.635.80072,LASER
4022.635.97903,LASER
455.92851-1/2L,Laser
455.92851-1/3L,LASER
455.92851-1/4L,LASER
455.92851-1/4R,LASER
455.92851-1/5,Laser
4022.472.41322,LASER
4022.481.17931,LASER
4022.635.53043,LASER
4022.656.21231,LASER
4022.656.21241,LASER
4022.482.54242,LASER
4022.631.36861,LASER
4022.671.01461,LASER
470.63812-1,LASER
4022.634.10331,LASER
4022.631.3685C,LASER
4022.636.69601,LASER
631.36861-1,Laser
4022.481.07033,LASER
4022.472.03161,LASER
4022.470.24722,LASER
4022.470.82593,LASER
4022.636.27941,LASER
4022.656.35772,LASER
455.99392-1,LASER (NEST -1 & -2)
480.28436-1,Laser
480.28436-2,Laser
4022.630.08451,LASER
4022.472.26871,PUNCH 1
3-72310,PUNCH 1
ENC-1083-131-20,PUNCH 2 
4022.634.37491,PUNCH 1
4022.636.25771,PUNCH 1
4022.664.72071,PUNCH 1
455.92851-1,PUNCH 1
455.92851-1/8,PUNCH 1
4022.470.66031,PUNCH 1
4022.472.41293,PUNCH 1
4022.472.91853,PUNCH 1
ENC-1083-122-00,PUNCH 3
4022.646.31063,PUNCH 1
ENC-1416-109-00,PUNCH 3
4022.636.69611,PUNCH 1
4022.636.30891,PUNCH 1
4022.472.41271,PUNCH 1
4022.634.10371,PUNCH 1
ENC-0983-132-20,PUNCH 2 
ENC-0983-40-20,PUNCH 3
4022.470.09144,PUNCH 1
ENC-0983-144-00,PUNCH 3
ENC-0983-41-20,PUNCH 3
4022.654.45621,PUNCH 1
4022.472.41312,PUNCH 1
ENC-1500-112-20,PUNCH 3
3-80889,PUNCH 1
4022.437.12092,PUNCH 1
3-52343,PUNCH 1
149419,PUNCH 1
4022.455.70612,LASER
4022.635.42055,LASER
3-76458,LASER
4022.636.59453,LASER
4022.639.17091,LASER
4022.480.29053,LASER
4022.481.02902,LASER
455.46923-1,Laser
4022.665.73971,LASER
4022.481.18831,LASER
4022.635.42543,LASER
480.29083-2,LASER
4022.635.79882,LASER
4022.635.79912,LASER
455.46774-1,LASER
4022.646.96422,LASER
4022.455.46742,LASER
4022.671.01441,LASER
4022.456.06692,LASER
4022.639.17101,LASER
3-81743,PUNCH 1
4022.472.33403,PUNCH 1
4022.636.59411,PUNCH 1
4022.636.27951,PUNCH 1
111004,PUNCH 1
4022.471.57561,PUNCH 1
4022.634.12161,PUNCH 1
4022.471.40711,PUNCH 1
3-76451-1,PUNCH 1
3-76460,PUNCH 1
3-71524,PUNCH 1
3-52158,PUNCH 1
3-52174,PUNCH 1
3-71523,PUNCH 1
ENC-1284-3-20,PUNCH 3
3-70999,PUNCH 1
4022.481.52311,LASER
4022.481.52391,LASER
4022.634.10341,LASER
3-52176,LASER
4022.668.91591,LASER
4022.656.22861,LASER
4022.481.17921,LASER
455.92981-1,LASER NEST 92981-1 & -3
455.92981-3,Laser Nest 92981-1 & -3
4022.470.60961,LASER
4022.470.25863,LASER
4022.480.42612,LASER
4022.656.19482,LASER
4022.480.42323,LASER
4022.480.42622,LASER
4022.635.80002,LASER
4022.635.80032,LASER
4022.481.07102,LASER
4022.481.90681,LASER
472.82191-1,LASER
455.92841-1,Laser
455.92841-2,LASER
4022.455.70652,LASER
3-71003,PUNCH 1
3-52175,PUNCH 1
3-63863,PUNCH 1
4022.472.98562,PUNCH 1
4022.656.19792,PUNCH 1
M15184A001_B,PUNCH 2
3-76451,PUNCH 1
3-82519,PUNCH 1
4022.637.99482,PUNCH 1
ENC-0991-242-00,PUNCH 3
4022.636.59432,LASER
481.07082-2,LASER
4022.480.42123,LASER
4022.637.88035,LASER
4022.470.24831,LASER
4022.637.89661,LASER
4022.637.88432,LASER
4022.637.89153,LASER
4022.480.29072,LASER
4022.472.21861,LASER
4022.437.12082,PUNCH 1
M13211B001,PUNCH 2
4022.634.10361,PUNCH 1
4022.472.26861,PUNCH 1
4022.455.46992,LASER
4022.455.46941,LASER
4022.481.52361,LASER
4022.481.52371,LASER
4022.470.24732,LASER
4022.637.86055,LASER
4022.455.99351,LASER
4022.481.52291,LASER
3-67301,PUNCH 1
4022.470.82603,PUNCH 1
4022.656.19791,PUNCH 1
4022.656.22851,LASER
4022.630.29401,LASER
4022.630.29422,LASER
4022.631.76801,LASER
4022.636.59461,PUNCH 1
4022.630.29531,PUNCH 1
3-71571,PUNCH 1
4022.472.98552,PUNCH 1
3-81712,PUNCH 1
4022.640.90172,PUNCH 1
4022.630.29382,LASER
4022.630.29502,LASER
4022.630.29541,PUNCH 1
4022.636.89951,PUNCH 1
4022.636.28342,PUNCH 1
4022.480.42081,LASER
4022.481.52281,LASER
4022.481.52321,LASER
4022.481.52331,LASER
4022.481.52341,LASER
4022.481.52351,LASER
4022.636.59242,PUNCH 1
4022.646.30143,PUNCH 1
4022.482.54012-2,LASER
4022.482.54012-3,LASER
